          2.00   -0.463292   -0.462153 0.000115777 //Energia a 2.0 K
          1.85   -0.494004   -0.493451 0.000124108
          1.70   -0.529882   -0.528658 0.000162493  
          1.55   -0.569078   -0.568402 0.00014934 
          1.40   -0.613745   -0.613465 0.000126576 
          1.25   -0.664278   -0.664245 0.000175406 
          1.10   -0.720523   -0.720991 0.000157462 
          0.95   -0.782094    -0.78289 0.000200714
          0.80   -0.849657   -0.848533 0.000247505
          0.65   -0.915755   -0.914154 0.000323573    
          0.50   -0.976217   -0.973983 0.000623013
